"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2013-12-18",131.48,135.81,131.48,135.8,5580000,134.91
"2013-12-19",135.06,136.52,134.73,136.41,4080900,135.52
"2013-12-20",136.78,138.09,136.6,136.72,5856800,135.83
"2013-12-23",137.1,137.43,136.32,136.8,3439600,135.91
"2013-12-24",137.23,137.34,136.35,136.99,1311700,136.1
"2013-12-26",137.3,138.68,137.03,138.29,2158200,137.39
"2013-12-27",138.78,139.4,138.55,139.35,1894900,138.44
"2013-12-30",139.08,139.65,138.79,139.42,1714300,138.51
"2013-12-31",140,140.43,139.48,140.25,1846500,139.33
"2014-01-02",138.05,139,137.61,138.13,3052100,137.23
"2014-01-03",138.37,138.88,138.03,138.45,2133300,137.55
"2014-01-06",138.75,139.29,137.48,137.63,2712100,136.73
"2014-01-07",137.45,138.2,137.13,137.65,2525500,136.75
"2014-01-08",137.48,137.75,136.34,136.63,3122700,135.74
"2014-01-09",137.02,137.43,136.2,136.45,2539900,135.56
"2014-01-10",136.95,137.19,135.68,136.18,3254300,135.29
"2014-01-13",135.81,137.06,134.57,134.68,2633400,133.8
"2014-01-14",135.11,137.41,134.74,137.41,2479700,136.51
"2014-01-15",137.77,138.82,137.56,138.44,3025900,137.54
"2014-01-16",137.74,138.5,137.63,138.16,1792700,137.26
"2014-01-17",137.98,138.75,136.98,137.31,2327900,136.41
"2014-01-21",138.45,138.95,136.3,136.99,2705700,136.1
"2014-01-22",137.35,137.49,136.33,136.48,2118800,135.59
"2014-01-23",135.64,135.66,133.95,134.71,2720300,133.83
"2014-01-24",133.73,133.73,130.22,130.22,3776100,129.37
"2014-01-27",130.02,130.59,128.66,128.96,3312800,128.12
"2014-01-28",129.43,130.01,129.1,129.81,2734200,128.96
"2014-01-29",130.1,131.27,129,130.25,3584000,129.4
"2014-01-30",129.96,129.96,126.53,128.05,4102600,127.21
"2014-01-31",126.6,129.2,126.42,128.19,3715400,127.35
"2014-02-03",128.22,128.59,123.61,123.9,4245100,123.09
"2014-02-04",126.09,127.64,124.12,126.72,7412500,125.89
"2014-02-05",128.01,128.76,125.92,127.36,4960000,126.53
"2014-02-06",127.6,129.2,127.1,128.9,3828400,128.06
"2014-02-07",129.57,130.39,128.81,130.33,3263200,129.48
"2014-02-10",129.65,130.41,129.02,129.7,3317400,128.85
"2014-02-11",129.7,131.49,129.65,130.98,2604000,130.12
"2014-02-12",130.34,131,130.01,130.44,2100600,130.44
"2014-02-13",129.29,130.38,128.66,130.14,2850600,130.14
"2014-02-14",129.77,132.19,129.5,132.12,3030000,132.12
"2014-02-18",132.31,132.75,131.64,131.8,2876500,131.8
"2014-02-19",131.33,132.71,130.46,130.56,2719400,130.56
"2014-02-20",130.65,132.03,130.05,131.56,2155800,131.56
"2014-02-21",131.56,132.33,131.3,131.57,2574300,131.57
"2014-02-24",131.89,133.46,131.44,132.2,2454300,132.2
"2014-02-25",132.27,133.43,131.86,132.93,2863100,132.93
"2014-02-26",133.13,133.46,132.28,132.86,2771100,132.86
"2014-02-27",132.63,134.58,132,134.34,3124000,134.34
"2014-02-28",134.19,135.2,133.92,134.73,3179400,134.73
"2014-03-03",133.07,133.81,131.67,132.21,2814400,132.21
"2014-03-04",131.92,133.08,131.58,132.68,6975500,132.68
"2014-03-05",132.66,134.03,132.19,133.85,3551400,133.85
"2014-03-06",134.37,134.74,134.02,134.08,2236800,134.08
"2014-03-07",134.88,135,133.71,134.11,2381400,134.11
"2014-03-10",133.98,134.08,133.1,133.56,1966100,133.56
"2014-03-11",133.73,133.84,132.23,132.51,1928900,132.51
"2014-03-12",132.07,132.76,131.59,132.57,2637000,132.57
"2014-03-13",133.19,133.67,130.64,130.81,2520700,130.81
"2014-03-14",130.08,131.11,129.7,129.83,2975100,129.83
"2014-03-17",130.66,132.69,130.66,132.27,2529400,132.27
